,MAE,RMSE,MAPE
Our approach,57.47413908351552,74.29866148434952,13.827937664684391
ARIMA,68.43550201744752,91.43274351555026,15.155136205301789
CNN-LSTM,71.95710725134069,85.09002474366899,18.78906602690119
Transformer,87.74220024331846,100.35494488585466,22.549905418201853
Random Forest,130.93136363636364,163.63753210567668,29.789354156822313
Seasonal Naïve,132.3181818181818,164.03533433102427,30.97174227910578
SVR,141.74525755897824,167.06268549028238,31.50721809095468
Prophet,164.88914960885504,190.63169408266688,37.667594612789664
