,MAE,RMSE,MAPE,DA(%)
TF + CNN-LSTM (Ens),57.47413908351552,74.29866148434952,13.827937664684391,71.42857142857143
CNN-LSTM,71.95710725134069,85.09002474366899,18.78906602690119,80.95238095238095
TF + LSTM (Ens),80.30280420815807,94.71651957280326,20.014754722755367,61.904761904761905
TF + CNN (Ens),82.53431969544108,96.99429800036398,21.216179145049125,57.14285714285714
Transformer,87.74220024331849,100.35494488585466,22.549905418201856,52.38095238095239
LSTM,94.11304627765308,113.46250627170838,23.072830175316685,66.66666666666666
CNN,99.9129255251451,113.57493427190738,26.28756395712711,66.66666666666666
